country,scenario,year,variable,value
BG,3_no_pol_ep_low_pef,2040,Primary energy factor,1.9744564
BG,3_no_pol_ep_low_pef,2045,Primary energy factor,1.2946031
BG,3_no_pol_ep_low_pef,START,Primary energy factor,3.266178
BG,4_low_pol_co2_75,START,Primary energy factor,3.266178
BG,5_low_pol_co2_75_low_pef,2030,Primary energy factor,2.6543097
BG,5_low_pol_co2_75_low_pef,2033,Primary energy factor,2.4503539
BG,5_low_pol_co2_75_low_pef,2035,Primary energy factor,2.3143833
BG,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.9744564
BG,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.2946031
BG,5_low_pol_co2_75_low_pef,START,Primary energy factor,3.266178
BG,6_co2_300,START,Primary energy factor,3.266178
BG,7_co2_300_low_pef,2030,Primary energy factor,2.6543097
BG,7_co2_300_low_pef,2033,Primary energy factor,2.4503539
BG,7_co2_300_low_pef,2035,Primary energy factor,2.3143833
BG,7_co2_300_low_pef,2040,Primary energy factor,1.9744564
BG,7_co2_300_low_pef,2045,Primary energy factor,1.2946031
BG,7_co2_300_low_pef,START,Primary energy factor,3.266178
BG,8_nofoss_co2_75,START,Primary energy factor,3.266178
BG,9_nofoss_co2_75_low_pef,2030,Primary energy factor,2.6543097
BG,9_nofoss_co2_75_low_pef,2033,Primary energy factor,2.4503539
BG,9_nofoss_co2_75_low_pef,2035,Primary energy factor,2.3143833
BG,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.9744564
BG,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.2946031
BG,9_nofoss_co2_75_low_pef,START,Primary energy factor,3.266178
CY,0_no_pol_cep,START,Primary energy factor,2.8701408
CY,1_no_pol_cep_low_pef,2030,Primary energy factor,2.3652027
CY,1_no_pol_cep_low_pef,2033,Primary energy factor,2.19689
CY,1_no_pol_cep_low_pef,2035,Primary energy factor,2.0846815
CY,1_no_pol_cep_low_pef,2040,Primary energy factor,1.8041605
CY,1_no_pol_cep_low_pef,2045,Primary energy factor,1.2431183
CY,1_no_pol_cep_low_pef,START,Primary energy factor,2.8701408
CY,2_no_pol_ep,START,Primary energy factor,2.8701408
